model_id,model_version,family,modalities,adapter,source_url,license_name,license_status,training_cutoff,exposure_status,container_image,container_digest,metadata_complete,execution_status,coverage,parity_spearman,repeat_spearman,primary_eligible,exclusion_reason
esm1v_ensemble,fair-esm-2.0.0,masked-protein-language-model,sequence,fair_esm_ensemble,https://github.com/facebookresearch/esm,MIT,permitted,2020-03,undocumented,containers/fair-esm.sif,,True,not_run,,,,False,execution_not_requested
esm2_650m,fair-esm-2.0.0,masked-protein-language-model,sequence,fair_esm,https://github.com/facebookresearch/esm,MIT,permitted,2021-03,undocumented,containers/fair-esm.sif,,True,not_run,,,,False,execution_not_requested
esmc_600m,2024-12,masked-protein-language-model,sequence,command,https://github.com/evolutionaryscale/esm,EvolutionaryScale Cambrian model license,restricted,undocumented,undocumented,,,True,not_run,,,,False,execution_not_requested
esm3_open,esm3-open-2024,multimodal-generative-model,sequence,command,https://github.com/evolutionaryscale/esm,Cambrian non-commercial license,restricted,undocumented,undocumented,,,True,not_run,,,,False,execution_not_requested
esm_if1,fair-esm-2.0.0,inverse-folding-model,sequence;structure,command,https://github.com/facebookresearch/esm,MIT,permitted,2021-05,undocumented,containers/fair-esm.sif,,True,not_run,,,,False,execution_not_requested
proteinmpnn,v1.0.0,inverse-folding-model,sequence;structure,command,https://github.com/dauparas/ProteinMPNN,MIT,permitted,2021-08,undocumented,,,True,not_run,,,,False,execution_not_requested
tranception_l_no_retrieval,1.0,autoregressive-protein-language-model,sequence,command,https://github.com/OATML-Markslab/Tranception,MIT,permitted,2021-08,undocumented,,,True,not_run,,,,False,execution_not_requested
tranception_l_retrieval,1.0,retrieval-augmented-protein-language-model,sequence;msa,command,https://github.com/OATML-Markslab/Tranception,MIT,permitted,2021-08,undocumented,,,True,not_run,,,,False,execution_not_requested
gemme,2019,evolutionary-sequence-model,sequence;msa,command,https://github.com/OATML-Markslab/ProteinGym,Upstream academic software terms require manual audit,undocumented,not_applicable,clean,,,False,not_run,,,,False,execution_not_requested
saprot_650m,SaProt_650M_AF2,structure-aware-protein-language-model,sequence;structure,command,https://github.com/westlake-repl/SaProt,Repository and checkpoint terms require manual audit,undocumented,undocumented,undocumented,,,False,not_run,,,,False,execution_not_requested
prosst_2048,ProSST-2048,structure-aware-protein-language-model,sequence;structure,command,https://github.com/ai4protein/ProSST,Apache-2.0 repository; checkpoint terms require confirmation,undocumented,undocumented,undocumented,,,False,not_run,,,,False,execution_not_requested
venusrem,2025,retrieval-structure-ensemble,sequence;msa;structure,command,https://github.com/ai4protein/VenusREM,CC-BY-NC-ND-4.0,restricted,undocumented,possible,,,True,not_run,,,,False,execution_not_requested
vespag,2024,distilled-variant-effect-model,sequence,command,https://github.com/JSchlensok/VespaG,Repository and checkpoint terms require manual audit,undocumented,2023,known,,,False,not_run,,,,False,execution_not_requested
